2026-08-05 11:01:12 | === Daily refresh job start (IST date 2026-08-05) ===
2026-08-05 11:01:12 | Reset complete (500 rows cleared). Loading full universe for 2026-08-05…
2026-08-05 11:07:52 | [1] phase=prices complete=0/500 prices=500 fund=0 tech=500 | Live Nifty refresh in 399.1s — LTP 500/500 (Groww/MC/Yahoo), OHLCV tech 500, saved 500, table showing 0.
2026-08-05 11:10:17 | [2] phase=fundamentals complete=9/500 prices=500 fund=9 tech=500 | Fundamentals batch: filled 12/12 in 143.9s. Verified now 9/500 (missing 491). ETA ~98 min. Overall complete 9/500.
2026-08-05 11:12:15 | [3] phase=fundamentals complete=17/500 prices=500 fund=17 tech=500 | Fundamentals batch: filled 12/12 in 117.2s. Verified now 17/500 (missing 483). ETA ~79 min. Overall complete 17/500.
2026-08-05 11:14:24 | [4] phase=fundamentals complete=25/500 prices=500 fund=25 tech=500 | Fundamentals batch: filled 12/12 in 128.7s. Verified now 25/500 (missing 475). ETA ~85 min. Overall complete 25/500.
2026-08-05 11:16:32 | [5] phase=fundamentals complete=32/500 prices=500 fund=32 tech=500 | Fundamentals batch: filled 12/12 in 127.4s. Verified now 32/500 (missing 468). ETA ~83 min. Overall complete 32/500.
2026-08-05 11:18:42 | [6] phase=fundamentals complete=39/500 prices=500 fund=39 tech=500 | Fundamentals batch: filled 12/12 in 128.5s. Verified now 39/500 (missing 461). ETA ~82 min. Overall complete 39/500.
2026-08-05 11:20:47 | [7] phase=fundamentals complete=45/500 prices=500 fund=45 tech=500 | Fundamentals batch: filled 12/12 in 124.0s. Verified now 45/500 (missing 455). ETA ~78 min. Overall complete 45/500.
2026-08-05 11:22:51 | [8] phase=fundamentals complete=50/500 prices=500 fund=50 tech=500 | Fundamentals batch: filled 12/12 in 123.7s. Verified now 50/500 (missing 450). ETA ~77 min. Overall complete 50/500.
2026-08-05 11:24:35 | [9] phase=fundamentals complete=54/500 prices=500 fund=54 tech=500 | Fundamentals batch: filled 12/12 in 102.9s. Verified now 54/500 (missing 446). ETA ~64 min. Overall complete 54/500.
2026-08-05 11:26:41 | [10] phase=fundamentals complete=57/500 prices=500 fund=57 tech=500 | Fundamentals batch: filled 12/12 in 126.1s. Verified now 57/500 (missing 443). ETA ~78 min. Overall complete 57/500.
2026-08-05 11:28:48 | [11] phase=fundamentals complete=58/500 prices=500 fund=58 tech=500 | Fundamentals batch: filled 12/12 in 126.0s. Verified now 58/500 (missing 442). ETA ~77 min. Overall complete 58/500.
2026-08-05 11:30:32 | [12] phase=fundamentals complete=59/500 prices=500 fund=59 tech=500 | Fundamentals batch: filled 12/12 in 103.2s. Verified now 59/500 (missing 441). ETA ~63 min. Overall complete 59/500.
2026-08-05 11:32:21 | [13] phase=fundamentals complete=60/500 prices=500 fund=60 tech=500 | Fundamentals batch: filled 12/12 in 108.3s. Verified now 60/500 (missing 440). ETA ~66 min. Overall complete 60/500.
2026-08-05 11:34:24 | [14] phase=fundamentals complete=61/500 prices=500 fund=61 tech=500 | Fundamentals batch: filled 12/12 in 122.4s. Verified now 61/500 (missing 439). ETA ~75 min. Overall complete 61/500.
2026-08-05 11:36:32 | [15] phase=fundamentals complete=62/500 prices=500 fund=62 tech=500 | Fundamentals batch: filled 12/12 in 126.7s. Verified now 62/500 (missing 438). ETA ~77 min. Overall complete 62/500.
2026-08-05 11:38:18 | [16] phase=fundamentals complete=63/500 prices=500 fund=63 tech=500 | Fundamentals batch: filled 12/12 in 105.3s. Verified now 63/500 (missing 437). ETA ~64 min. Overall complete 63/500.
2026-08-05 11:39:34 | [17] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 75.2s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 11:40:51 | [18] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 76.4s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 11:42:05 | [19] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 73.6s. Verified now 64/500 (missing 436). ETA ~45 min. Overall complete 64/500.
2026-08-05 11:43:23 | [20] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 76.5s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 11:44:35 | [21] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 72.2s. Verified now 64/500 (missing 436). ETA ~44 min. Overall complete 64/500.
2026-08-05 11:45:57 | [22] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 81.1s. Verified now 64/500 (missing 436). ETA ~49 min. Overall complete 64/500.
2026-08-05 11:47:13 | [23] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 74.7s. Verified now 64/500 (missing 436). ETA ~45 min. Overall complete 64/500.
2026-08-05 11:48:30 | [24] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 77.1s. Verified now 64/500 (missing 436). ETA ~47 min. Overall complete 64/500.
2026-08-05 11:49:49 | [25] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 77.3s. Verified now 64/500 (missing 436). ETA ~47 min. Overall complete 64/500.
2026-08-05 11:51:11 | [26] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 81.5s. Verified now 64/500 (missing 436). ETA ~49 min. Overall complete 64/500.
2026-08-05 11:52:29 | [27] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 77.5s. Verified now 64/500 (missing 436). ETA ~47 min. Overall complete 64/500.
2026-08-05 11:53:47 | [28] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 77.0s. Verified now 64/500 (missing 436). ETA ~47 min. Overall complete 64/500.
2026-08-05 11:55:03 | [29] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 75.9s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 11:56:17 | [30] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 73.4s. Verified now 64/500 (missing 436). ETA ~44 min. Overall complete 64/500.
2026-08-05 11:57:42 | [31] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 84.4s. Verified now 64/500 (missing 436). ETA ~51 min. Overall complete 64/500.
2026-08-05 11:59:02 | [32] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 79.1s. Verified now 64/500 (missing 436). ETA ~48 min. Overall complete 64/500.
2026-08-05 12:00:16 | [33] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 73.0s. Verified now 64/500 (missing 436). ETA ~44 min. Overall complete 64/500.
2026-08-05 12:01:32 | [34] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 75.8s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 12:02:47 | [35] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 73.5s. Verified now 64/500 (missing 436). ETA ~44 min. Overall complete 64/500.
2026-08-05 12:04:03 | [36] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 75.5s. Verified now 64/500 (missing 436). ETA ~46 min. Overall complete 64/500.
2026-08-05 12:05:24 | [37] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 79.9s. Verified now 64/500 (missing 436). ETA ~48 min. Overall complete 64/500.
2026-08-05 12:06:50 | [38] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 85.0s. Verified now 64/500 (missing 436). ETA ~52 min. Overall complete 64/500.
2026-08-05 12:08:11 | [39] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 80.3s. Verified now 64/500 (missing 436). ETA ~49 min. Overall complete 64/500.
2026-08-05 12:09:29 | [40] phase=fundamentals complete=64/500 prices=500 fund=64 tech=500 | Fundamentals batch: filled 12/12 in 77.7s. Verified now 64/500 (missing 436). ETA ~47 min. Overall complete 64/500.
